"id","type","dc.identifier","dc.language","dc.source","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","service","namedGraph","homepage","accessRights","conformsTo","endpointDescription","endpointURL","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","source","name","downloadLocation","packageFileName","packageName","versionInfo","comment","availableGraphs","defaultDataset","endpoint","feature","resultFormat","supportedLanguage","url"
"omg_catalog:codelijst","dcat:Catalog","be.vlaanderen.omgeving.data.id.catalog.codelijst","nl","Codelijsten omgeving.","Dataset catalogus codelijsten omgeving.","De codelijsten met betrekking tot het hele domein omgeving van de Vlaamse Overheid.","omg_catalog:codelijst","2022-09-10","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","https://www.geonames.org/3337388/flanders|country:BEL","Catalogus van datasets, codelijsten, van het domein omgeving.","omg_catalog:dsi","Catalogus van datasets, codelijsten, van het domein omgeving.","Versie 1.0.0  september 2022","omg_vcard:helpdesk","omg_dataset:codelijst-observatieprocedure","omg_dataservice:sparqlendpoint","omg_named_graph:algemeen-catalog-publiek","https://data.omgeving.vlaanderen.be/doc/catalog/dsi.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omg_dataservice:sparqlendpoint","dcat:DataService","be.vlaanderen.omgeving.data.id.dataservice.sparqlendpoint",NA,NA,NA,"Sparql endpoint api op de datasets gepubliceerd onder het DSI domein.","omg_dataservice:sparqlendpoint",NA,NA,"http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323",NA,NA,"Sparql endpoint DSI datasets",NA,"Sparql endpoint DSI datasets",NA,"omg_vcard:helpdesk",NA,NA,NA,NA,"access_right:PUBLIC","http://www.w3.org/TR/sparql11-protocol/","omg_service:sparqlservice","https://data.omgeving.vlaanderen.be/sparql","https://data.omgeving.vlaanderen.be/#sparqlForm","omg_dataset:codelijst-observatieprocedure","https://data.omgeving.vlaanderen.be/doc/dataservice/sparqlendpoint.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omg_dataset:codelijst-observatieprocedure","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-observatieprocedure","nl",NA,"Codelijst Observatieprocedure Dataset","Deze dataset bevat een lijst van types observatieprocedure gebruikt binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.","omg_dataset:codelijst-observatieprocedure","2022-03-01","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","https://www.geonames.org/3337388/flanders|country:BEL","Thesaurus observatieproceduretypes",NA,"Dataset Codelijst Observatieprocedure",NA,"omg_vcard:helpdesk",NA,NA,NA,NA,"access_right:PUBLIC",NA,NA,NA,"https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html",NA,"https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-observatieprocedure.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-observatieprocedure_csv|omg_distribution:codelijst-observatieprocedure_jsonld|omg_distribution:codelijst-observatieprocedure_ttl","gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omg_distribution:codelijst-observatieprocedure_csv","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure_ttl",NA,NA,NA,"Codelijst Observatieprocedure, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-observatieprocedure_ttl","2022-09-10",NA,NA,NA,"ovo:OVO003751",NA,"Codelijst Observatieprocedure in text/csv formaat.",NA,"Codelijst Observatieprocedure, in text/csv formaat.",NA,NA,NA,NA,NA,NA,"access_right:PUBLIC",NA,NA,NA,NA,NA,"https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-observatieprocedure_csv.html",NA,NA,NA,NA,"file_type:CSV","https://github.com/milieuinfo/codelijst-observatieprocedure.git","http://www.iana.org/assignments/media-types/application/gzip","https://github.com/milieuinfo/codelijst-observatieprocedure/raw/main/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/observatieprocedure/observatieprocedure.csv","https://www.iana.org/assignments/media-types/text/csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omg_distribution:codelijst-observatieprocedure_jsonld","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure_jsonld",NA,NA,NA,"Codelijst Observatieprocedure, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-observatieprocedure_jsonld","2022-09-10",NA,NA,NA,"ovo:OVO003751",NA,"Codelijst Observatieprocedure in jsonld rdf-formaat.",NA,"Codelijst Observatieprocedure, in jsonld rdf-formaat.",NA,NA,NA,NA,NA,NA,"access_right:PUBLIC",NA,NA,NA,NA,NA,"https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-observatieprocedure_jsonld.html",NA,NA,NA,NA,"file_type:JSON_LD","https://github.com/milieuinfo/codelijst-observatieprocedure.git","http://www.iana.org/assignments/media-types/application/gzip","https://github.com/milieuinfo/codelijst-observatieprocedure/raw/main/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/observatieprocedure/observatieprocedure.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omg_distribution:codelijst-observatieprocedure_ttl","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure_ttl",NA,NA,NA,"Codelijst Observatieprocedure, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-observatieprocedure_ttl","2022-09-10",NA,NA,NA,"ovo:OVO003751",NA,"Codelijst Observatieprocedure in Turtle rdf-formaat.",NA,"Codelijst Observatieprocedure, in Turtle rdf-formaat.",NA,NA,NA,NA,NA,NA,"access_right:PUBLIC",NA,NA,NA,NA,NA,"https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-observatieprocedure_ttl.html",NA,NA,NA,NA,"file_type:RDF_TURTLE","https://github.com/milieuinfo/codelijst-observatieprocedure.git","http://www.iana.org/assignments/media-types/application/gzip","https://github.com/milieuinfo/codelijst-observatieprocedure/raw/main/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/observatieprocedure/observatieprocedure.ttl","https://www.iana.org/assignments/media-types/text/turtle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omg_graphcollection:sparqlservice","sd:Dataset|sd:GraphCollection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De graphen die gebruikt kunnen worden in de constructie van een dataset via SPARQL Protocol.",NA,NA,NA,NA,"omg_named_graph:algemeen-conceptschemes-publiek|omg_named_graph:algemeen-catalog-publiek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omg_named_graph:algemeen-catalog-publiek","sd:NamedGraph","be.vlaanderen.omgeving.data.id.graph.algemeen-catalog-publiek",NA,NA,NA,NA,"omg_named_graph:algemeen-catalog-publiek",NA,NA,NA,NA,NA,NA,NA,NA,"Graph algemeen-catalog-publiek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omg_package:be.vlaanderen.omgeving.data.id.graph.algemeen-catalog-publiek","omg_graph:algemeen-catalog-publiek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omg_named_graph:algemeen-conceptschemes-publiek","sd:NamedGraph","be.vlaanderen.omgeving.data.id.graph.algemeen-conceptschemes-publiek",NA,NA,NA,NA,"omg_named_graph:dsi-data-intern",NA,NA,NA,NA,NA,NA,NA,NA,"Graph algemeen-conceptschemes-publiek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure","omg_graph:algemeen-conceptschemes-publiek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omg_package:be.vlaanderen.omgeving.dsi.data.id.graph.algemeen-catalog-publiek","spdx:Package",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Package algemeen-catalog-publiek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/algemeen-catalog-publiek/1.0.0/algemeen-catalog-publiek-1.0.0.jar","algemeen-catalog-publiek-1.0.0.jar","be.vlaanderen.omgeving.dsi.data.id.graph.algemeen-catalog-publiek","1.0.0",NA,NA,NA,NA,NA,NA,NA,NA
"omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure","spdx:Package",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Package algemeen-conceptschemes-publiek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-observatieprocedure/1.0.1/codelijst-observatieprocedure-1.0.1.jar","codelijst-observatieprocedure-1.0.1.jar","be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure","1.0.1",NA,NA,NA,NA,NA,NA,NA,NA
"omg_service:sparqlservice","sd:Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sparql service conform SPARQL 1.1 Protocol.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Een beschrijving, met de verschillende kenmerken, van de sparql service.","omg_graphcollection:sparqlservice","omg_graphcollection:sparqlservice","https://data.omgeving.vlaanderen.be/sparql","sd:UnionDefaultGraph|sd:DereferencesURIs","formats:SPARQL_Results_JSON|formats:Turtle|formats:SPARQL_Results_XML|formats:SPARQL_Results_CSV|formats:N3|formats:N-Triples|formats:RDF_XML","sd:SPARQL10Query","https://data.omgeving.vlaanderen.be/sparql"
